epoch,accuracy,learning_rate,loss,top_2_accuracy,val_accuracy,val_loss,val_top_2_accuracy
0,0.18895569443702698,0.0010000000474974513,3.607257127761841,0.35358521342277527,0.1520446091890335,3.8498971462249756,0.31654274463653564
1,0.2852649688720703,0.0010000000474974513,3.14223051071167,0.4800732433795929,0.3180297315120697,2.933051109313965,0.5232341885566711
2,0.37018752098083496,0.0010000000474974513,2.859516143798828,0.5655531883239746,0.4241635799407959,2.661978244781494,0.6208178400993347
3,0.4264044165611267,0.0010000000474974513,2.6156857013702393,0.6276227235794067,0.2884758412837982,3.632079601287842,0.49107807874679565
4,0.45455268025398254,0.0010000000474974513,2.4634828567504883,0.6549348831176758,0.2780669033527374,3.073484420776367,0.5470260381698608
5,0.4709957540035248,0.0010000000474974513,2.375112295150757,0.6732890009880066,0.4247211813926697,2.768760919570923,0.623234212398529
6,0.5075845122337341,0.0005000000237487257,2.227315664291382,0.7066130638122559,0.48122677206993103,2.3303463459014893,0.6814126372337341
7,0.5151491165161133,0.0005000000237487257,2.158311605453491,0.7149341106414795,0.4992564916610718,2.455054521560669,0.6916356682777405
8,0.5228331685066223,0.0005000000237487257,2.115104913711548,0.7224987149238586,0.5388475656509399,2.204817771911621,0.7342007160186768
9,0.5337420701980591,0.0005000000237487257,2.0873584747314453,0.7318150997161865,0.4895910918712616,2.257554054260254,0.6992564797401428
10,0.5436158776283264,0.0005000000237487257,2.0377037525177,0.7431619763374329,0.5269516706466675,2.123929738998413,0.7273234128952026
11,0.5481546521186829,0.0005000000237487257,1.995308518409729,0.7448341846466064,0.5431226491928101,2.162381410598755,0.7356877326965332
12,0.5540470480918884,0.0005000000237487257,1.9592787027359009,0.755942165851593,0.5291821360588074,2.364527463912964,0.729739785194397
13,0.5582274794578552,0.0005000000237487257,1.9344334602355957,0.7551857233047485,0.534014880657196,2.1035523414611816,0.7356877326965332
14,0.5683003664016724,0.0005000000237487257,1.8992509841918945,0.7646215558052063,0.5691449642181396,2.1029250621795654,0.7674721479415894
15,0.5742325782775879,0.0005000000237487257,1.8649649620056152,0.7716287970542908,0.5139405131340027,2.310941219329834,0.7314126491546631
16,0.5765417814254761,0.0005000000237487257,1.8531339168548584,0.7760481238365173,0.5784386396408081,1.962237000465393,0.7743494510650635
17,0.5868136882781982,0.0005000000237487257,1.8218427896499634,0.7771628499031067,0.593122661113739,2.048038959503174,0.7843866348266602
18,0.5859776139259338,0.0005000000237487257,1.8311166763305664,0.7796711325645447,0.5570632219314575,2.086944103240967,0.765055775642395
19,0.5926663279533386,0.0005000000237487257,1.7872734069824219,0.7845682501792908,0.5511152148246765,2.0085625648498535,0.7444238066673279
20,0.6058844327926636,0.0002500000118743628,1.6994515657424927,0.7967512011528015,0.6022304892539978,1.9093339443206787,0.7918215394020081
21,0.6137277483940125,0.0002500000118743628,1.6738330125808716,0.8009316325187683,0.6092936992645264,1.8864116668701172,0.7968401312828064
22,0.6161165833473206,0.0002500000118743628,1.6447992324829102,0.8055500388145447,0.593122661113739,2.09881854057312,0.7920074462890625
23,0.6228848695755005,0.0002500000118743628,1.6189509630203247,0.8107656240463257,0.6163568496704102,1.9368982315063477,0.8068773150444031
24,0.6232830286026001,0.0002500000118743628,1.6197521686553955,0.8108054399490356,0.6167286038398743,2.013479471206665,0.8033457398414612
25,0.6302902698516846,0.0001250000059371814,1.574020504951477,0.8179718852043152,0.6239777207374573,1.8973095417022705,0.8059479594230652
26,0.6318429708480835,0.0001250000059371814,1.5580837726593018,0.8211171627044678,0.6208178400993347,1.9059875011444092,0.8022304773330688
27,0.6358641386032104,0.0001250000059371814,1.5521379709243774,0.8209578990936279,0.6178438663482666,1.8928358554840088,0.8042750954627991
28,0.6471314430236816,6.25000029685907e-05,1.5011916160583496,0.825894832611084,0.6276951432228088,1.9056001901626587,0.8124535083770752
29,0.6486443281173706,6.25000029685907e-05,1.4955134391784668,0.8312298655509949,0.6197025775909424,1.8699724674224854,0.809107780456543
30,0.6444240808486938,6.25000029685907e-05,1.50116765499115,0.8295178413391113,0.6284386515617371,1.8813128471374512,0.8117100596427917
31,0.6458972096443176,6.25000029685907e-05,1.4963301420211792,0.8303141593933105,0.6282528042793274,1.9323310852050781,0.8126394152641296
32,0.6449416875839233,6.25000029685907e-05,1.483802080154419,0.8310307860374451,0.6286245584487915,1.8586457967758179,0.8124535083770752
33,0.64924156665802,6.25000029685907e-05,1.4792041778564453,0.832543671131134,0.6278810501098633,1.8624433279037476,0.8100371956825256
34,0.6526257395744324,6.25000029685907e-05,1.4883806705474854,0.8303141593933105,0.6289962530136108,1.8630536794662476,0.8120818138122559
35,0.6543775200843811,6.25000029685907e-05,1.4648524522781372,0.836365818977356,0.6269516944885254,1.8549973964691162,0.8137546181678772
